country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,fetched_at
India,Tamil Nadu,Chennai,"Manali Village, Chennai - TNPCB",19-09-2026 20:00:00,13.1662,80.2584,CO,24,29,26,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",19-09-2026 20:00:00,13.164544,80.26285,PM2.5,13,42,26,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",19-09-2026 20:00:00,13.164544,80.26285,NH3,6,6,6,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",19-09-2026 20:00:00,13.0052189,80.2398125,PM2.5,34,34,34,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",19-09-2026 20:00:00,13.0052189,80.2398125,PM10,62,121,90,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",19-09-2026 20:00:00,13.0052189,80.2398125,NO2,11,13,12,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Manali Village, Chennai - TNPCB",19-09-2026 20:00:00,13.1662,80.2584,NO2,NA,NA,NA,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Manali Village, Chennai - TNPCB",19-09-2026 20:00:00,13.1662,80.2584,NH3,NA,NA,NA,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",19-09-2026 20:00:00,13.164544,80.26285,NO2,10,10,10,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",19-09-2026 20:00:00,13.164544,80.26285,SO2,4,17,6,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Manali Village, Chennai - TNPCB",19-09-2026 20:00:00,13.1662,80.2584,PM2.5,NA,NA,NA,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Manali Village, Chennai - TNPCB",19-09-2026 20:00:00,13.1662,80.2584,OZONE,NA,NA,NA,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",19-09-2026 20:00:00,13.164544,80.26285,CO,14,48,29,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",19-09-2026 20:00:00,13.0052189,80.2398125,CO,NA,NA,NA,2026-09-19T15:49:00.745529+00:00
India,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",19-09-2026 20:00:00,13.0052189,80.2398125,OZONE,9,13,11,2026-09-19T15:49:00.745529+00:00
